Title,Type,Summary,Extract,Entity,Official source,Category
"The Traffic Safety Amendment Act, 2020",Regulation,"These amendments appear to be intended to create a regulatory framework to give the provincial administrator the authority to issue vehicle permits for the operation of autonomous vehicles.

Of note, these amendments require that drivers be in the driver's seat and at the controls of the AV, which would preclude level 5 automation (fully automated) where the vehicle does not contain any driver controls.

Further, to minimize the mischief that can occur with automated technology, Saskatchewan's amendments contain broad provisions intended to prevent interference or obstruction of AVs by third parties","DIVISION 3
Rules of the Road

Application – rules of the road
75.3 Subject to the regulations, Part XVI applies, with any necessary
modification, to automated vehicles and connected vehicles.

Prohibition on operation
75.4(1) Subject to the regulations, no person shall operate an automated
vehicle on a highway:
(a) unless that person is positioned at the controls of the automated
vehicle; and
(b) is capable of personally and lawfully operating the automated
vehicle, irrespective of whether the vehicle is capable of operating at a
level of automation.
(2) No person, other than a peace officer acting in the course of the peace
officer’s duties or any other person acting in the course of that person’s duties,
shall tamper with, obstruct or interfere with the operation of an automated
vehicle or a connected vehicle.
(3) No person or thing shall be carried in or on or be towed by or be otherwise
connected to an automated vehicle or a connected vehicle unless authorized
by a permit issued by the administrator or the regulations.",Saskatchewan,https://publications.saskatchewan.ca/#/products/107455,Autonomous Vehicle
The Vehicle Technology Testing Act ,Regulation,"This Bill amends The Highway Traffic Act, The Insurance Act and The Manitoba Public Insurance Corporation Act to allow for the testing of vehicles with automated driving systems or other new technology.

Under a technology testing permit, a vehicle or a new vehicle technology can be exempted from certain highway traffic law requirements.

A vehicle operated under such a permit may also be exempted from being insured through Manitoba Public Insurance. MPI may recover from the permit holder the costs of property damage and personal injury benefits paid out as a result of an at-fault accident caused by the vehicle.","PART VIII.1

Technology testing permits
318.13(1)
The minister may, in accordance with the regulations, issue a technology testing permit to allow a test vehicle to be driven for the purpose of
(a) testing a type of vehicle or vehicle technology; or
(b) evaluating the safety or performance of a type of vehicle or vehicle technology.

Content of permit
318.13(2)
Subject to the regulations, a technology testing permit in respect of a test vehicle may address any of the following:
(a) the training and licensing of the test vehicle's drivers;
(b) the test vehicle's registration under The Drivers and Vehicles Act, or its identification by other means;
(c) the insurance or other financial security required to drive the test vehicle;
(d) the times, locations and circumstances under which the test vehicle may be driven;
(e) reporting requirements under the permit.",Manitoba,https://web2.gov.mb.ca/bills/42-2/b023e.php,Autonomous Vehicle
O. Reg. 306/15: Pilot Project - Automated Vehicles,Regulation,"Ontario's regulation contains extensive guidance on AV use and tasks, while also providing clarity by defining what constitutes an ""advanced driver assistance system"" or a ""dynamic driving task."" 

In 2019, Ontario introduced important amendments to its pilot project regulatory framework. 
As part of these amendments, the province moved to open the way to public use of level 3 AVs and permit driverless testing of levels 4 and 5 AVs, along with co-operative truck platooning.","Note: This Regulation is revoked on January 1, 2026. (See: O. Reg. 306/15, s. 18)

Prohibition
4. No person shall drive or permit the operation of an automated vehicle on a highway, except as permitted by this Regulation.

Permitted use of automated vehicles
5. A person may drive or permit the operation of an automated vehicle on a highway if the owner of the vehicle has been approved under section 9 to test automated vehicles, and the vehicle is being driven only for testing purposes under the pilot project established by this Regulation. O. Reg. 517/18, s. 5.

Automated driving system requirements
11. (1) For a vehicle that was originally manufactured as an automated vehicle, its automated driving system,
(a) must comply with any applicable requirements of the Act and the regulations; and
(b) must comply with any requirements of the Motor Vehicle Safety Act (Canada) that apply to automated driving systems for the vehicle’s year of manufacture.",Ontario,https://www.ontario.ca/laws/regulation/150306,Autonomous Vehicle
Amendments to the Highway Safety Code in 2018,Regulation,"The Quebec legal framework allows for pilot projects and the authority to grant an exemption from insurance contributions. 

The Minister sets the rules and conditions for the implementation of any pilot project, and authorizes any person or body to use a vehicle in compliance with the standards and rules they prescribe. 
Pilot projects are conducted for three to five years and allow for cancellation or extension at the Minister's determination.","Amendments to the Highway Safety Code in 2018 not only introduced a definition of what constitutes an “autonomous vehicle”, but also opened the door to the implementation of pilot projects to test new modes of transportation and to regulate the operation of this new type of vehicle.

Testing an autonomous vehicle on a public road open to road vehicle traffic is only authorized when it is part of a pilot project. 
Only the Minister of Transport can authorize pilot projects to test new modes of transportation that make use of technological innovations while ensuring that the safety of road users is not compromised. 
Pilot projects usually last for 5 years, but can be extended by up to 2 years.

Putting an autonomous vehicle into operation on a public road is therefore prohibited, unless the vehicle is being tested as part of a pilot project. 
The only exception applies to vehicles with a driving automation level of 3, as defined by SAE International Standard J3016. 
The sale of such vehicles is authorized in Canada.",Quebec,https://saaq.gouv.qc.ca/en/road-safety/modes-transportation/autonomous-vehicles,Autonomous Vehicle
Amendments to the Highway Traffic Legislation ,Regulation,"The legislation leaves open the possibility for regulations to group different features or vehicles in order to provide guidance on what is and what is not autonomous. 

It also mandates that the driver of the vehicle ""must be able to personally drive the vehicle,"" regardless of whether it is autonomous or uses an autonomous feature.","The legislation leaves open the possibility for regulations to group different features or vehicles in order to provide guidance on what is and what is not autonomous. 

It also mandates that the driver of the vehicle ""must be able to personally drive the vehicle,"" regardless of whether it is autonomous or uses an autonomous feature.",Nova Scotia,https://nslegislature.ca/legc/bills/63rd_2nd/3rd_read/b080.htm,Autonomous Vehicle
Motor vehicle safety Act,Regulation,"An Act to regulate the manufacture and importation of motor vehicles and motor vehicle equipment to reduce the risk of death, injury and damage to property and the environment","Offence and punishment

17 (1) Every corporation or company that contravenes this Act, the regulations or an order
(a) is guilty of an offence punishable on summary conviction and is liable to a fine of not more than $200,000; or
(b) is guilty of an indictable offence and is liable to a fine of not more than $2 million.

Marginal note:Offence and punishment
(2) Every individual who contravenes this Act, the regulations or an order
(a) is guilty of an offence punishable on summary conviction and is liable to a fine of not more than $4,000 or to imprisonment for a term of not more than six months, or to both; or
(b) is guilty of an indictable offence and is liable to a fine of not more than $20,000 or to imprisonment for a term of not more than two years, or to both.",Canada,https://laws-lois.justice.gc.ca/eng/acts/m-10.01/FullText.html,Autonomous Vehicle
Guidelines for testing automated driving systems in Canada,Guideline,"These guidelines will help to ensure that trials are conducted in a safe and secure manner, according to a baseline of nationally consistent safety practices. This document further clarifies the roles and responsibilities of each order of government in facilitating these tests, and will serve to promote Canada as a leading destination for research and development of automated vehicles.

As automated driving systems continue to evolve, Transport Canada will continue to update this document, as well as its other guidance and tools to support the ongoing safety of Canadian road users.","Chapter 2: pre-trial considerations
2.1 Assessing the safety of the test vehicle
2.2 Route selection/Operating environments
2.3 Developing a safety management plan
2.4 Trials with safety drivers
2.5 Public communication and awareness
2.6 Engaging local first responders and law enforcement",Canada,https://tc.canada.ca/en/road-transportation/innovative-technologies/connected-automated-vehicles/guidelines-testing-automated-driving-systems-canada,Autonomous Vehicle
Ontario Personal Health Information Protection Act,Regulation,"The Acts includes sections such as Interpretation and application, Practices to protect personal health information; Consent concerning personal health information; Collection, use and disclosure of personal health information; Access to records of personal health information and correction; and more.
","Application of Act

7(1) Except if this Act or its regulations specifically provide otherwise, this Act applies to,

a. the collection of personal health information by a health information custodian on or after the day this section comes into force;

b. the use or disclosure of personal health information, on or after the day this section comes into force, by,
b1. a health information custodian, even if the custodian collected the information before that day, or
b2. a person who is not a health information custodian and to whom a health information custodian disclosed the information, even if the person received the information before that day; and

c. the collection, use or disclosure of a health number by any person on or after the day this section comes into force.",Ontario,https://www.ontario.ca/laws/statute/04p03,Healthcare
NB- Personal Health Information Privacy and Access Act,Regulation,"The Acts includes sections such as Interpretation; Purposes And Application; Access To Personal Health Information; Consent Re Personal Health Information; Collection, Use And Disclosure Of Personal Health Information; and more.
","The purposes of this Act are

(a) to provide individuals with a right to examine and receive a copy of their personal health information maintained by a custodian, subject to the limited and specific exceptions set out in this Act,

(b) to provide individuals with the right to request the correction of or amendment to their personal health information maintained by a custodian, subject to the limited and specific exceptions set out in this Act,

(c) to establish a set of rules for custodians regarding the collection, use, disclosure, retention and secure destruction of personal health information that protects the confidentiality of personal health information and the privacy of the individual to whom the personal health information relates,
",New Brunswick,https://laws.gnb.ca/en/showfulldoc/cs/P-7.05/20121030,Healthcare
NL- Personal Health Information Privacy and Access Act,Regulation,"The Acts includes sections such as Purpose, Interpretation And Application; Practices To Protect Personal Health Information; Consent; Collection, Use And Disclosure Of Personal Health Information; Access To And Correction Of A Record Of Personal Health Information
","Part 4- Collection, Use And Disclosure Of Personal Health Information
     
29.   Collection of personal health information with consent
30.   Direct collection     
31.   Indirect collection
32.   Scope of collection     
33.   Use of information     
34.   Permitted uses     
35.   Scope of use
",Newfoundland and Labrador,https://assembly.nl.ca/Legislation/sr/statutes/p07-01.htm,Healthcare
